156,744,1,4392,2157
162,773,2,4426,2
476,564,3,4451,16
645,548,4,4471,31
540,730,5,4490,45
498,802,6,4503,56
668,636,7,4520,67
717,551,8,4534,74
727,503,9,4545,82
739,447,10,4559,91
765,383,11,4571,97
774,359,12,4585,104
776,353,13,4599,111
795,338,14,4612,118
783,260,17,4647,136
768,222,18,4662,143
753,209,19,4669,149
729,201,20,4682,155
721,200,21,4693,159
719,202,22,4702,166
719,204,23,4712,172
719,207,24,4723,176
719,207,25,4732,181
687,214,29,4778,203
661,267,30,4788,209
683,414,31,4798,214
354,380,74,5252,441
352,437,79,5304,468
277,433,81,5327,477
212,429,82,5339,483
316,447,83,5350,488
249,403,84,5366,494
183,393,85,5375,500
197,356,86,5384,507
330,410,88,5406,516
382,430,89,5419,524
397,438,90,5428,527
399,446,92,5451,539
401,437,93,5464,545
397,444,94,5475,550
393,448,96,5496,562
392,440,97,5504,568
388,444,98,5514,573
392,434,99,5526,577
388,443,100,5535,582
393,435,103,5570,598
388,442,104,5578,603
385,445,106,5600,614
389,436,107,5609,620
586,470,136,5908,769
638,473,137,5919,774
608,450,138,5930,779
553,415,139,5943,784
492,398,140,5953,789
431,419,141,5965,796
410,435,142,5976,801
423,492,143,5987,807
520,542,144,5996,812
641,552,145,6007,818
686,556,146,6021,822
699,555,147,6032,828
699,552,148,6039,835
688,549,163,6195,912
679,541,197,6559,1093
673,538,198,6568,1098
667,539,199,6578,1105
664,541,204,6632,1129
678,560,206,6654,1140
690,570,209,6687,1158
698,574,210,6694,1162
688,582,211,6707,1169
670,584,212,6715,1172
644,570,213,6729,1179
630,558,214,6741,1182
624,537,215,6748,1189
576,474,216,6757,1196
518,454,217,6768,1199
441,459,218,6779,1203
385,454,219,6791,1209
371,456,220,6804,1215
369,458,221,6815,1220
362,457,222,6822,1226
350,458,223,6836,1233
343,455,224,6844,1236
361,463,225,6855,1242
381,457,226,6866,1246
500,494,227,6877,1253
615,534,228,6886,1258
696,564,241,7028,1328
718,578,242,7037,1333
720,582,243,7046,1338
716,581,244,7060,1344
708,585,245,7073,1348
714,653,246,7085,1354
731,766,247,7095,1361
735,803,248,7102,1367
723,829,249,7116,1372
721,832,250,7131,1376
720,831,251,7140,1383
641,875,254,7177,1402
620,891,255,7188,1406
659,907,256,7196,1413
678,914,257,7208,1419
690,914,258,7216,1422
699,913,259,7229,1429
714,909,260,7240,1433
727,908,261,7252,1440
730,906,262,7259,1444
750,908,263,7272,1451
759,907,264,7283,1454
757,899,265,7290,1460
768,804,266,7302,1467
751,715,267,7315,1470
718,604,268,7325,1476
707,564,269,7335,1482
704,554,270,7347,1487
704,556,271,7355,1491
706,561,272,7370,1498
707,566,273,7381,1502
708,570,274,7394,1507
710,573,275,7401,1513
711,574,276,7412,1519
711,575,277,7425,1524
711,579,278,7439,1530
710,582,279,7448,1535
711,579,280,7456,1543
709,581,281,7472,1549
704,586,282,7483,1553
759,622,283,7490,1560
842,616,284,7503,1566
863,560,285,7509,1570
871,552,286,7520,1576
872,553,287,7532,1579
871,554,288,7543,1585
869,554,289,7551,1591
867,556,290,7565,1597
865,557,291,7576,1600
865,557,292,7587,1607
856,552,293,7599,1613
789,553,294,7607,1618
742,556,295,7620,1624
727,557,296,7632,1628
724,557,297,7642,1634
720,557,298,7654,1641
721,555,299,7668,1646
724,553,300,7679,1651
732,556,301,7688,1658
761,535,302,7700,1663
818,554,303,7713,1668
883,668,304,7724,1675
916,766,305,7730,1682
694,872,306,7741,1686
792,880,307,7755,1690
774,864,308,7763,1695
765,834,309,7777,1702
638,872,310,7783,1706
577,971,311,7792,1713
572,895,312,7801,1717
555,897,313,7817,1721
556,874,314,7825,1726
560,868,315,7834,1733
566,869,316,7843,1738
567,866,317,7856,1742
557,862,318,7865,1747
551,860,319,7875,1752
535,852,320,7887,1757
516,842,321,7895,1763
488,829,322,7906,1768
469,817,323,7915,1772
463,800,324,7929,1778
463,795,325,7938,1782
477,729,326,7949,1789
506,638,327,7962,1793
618,572,328,7974,1800
700,593,386,8611,2118
749,649,387,8620,2125
766,708,388,8634,2130
768,743,389,8643,2134
730,801,390,8654,2141
651,806,391,8665,2147
625,747,392,8678,2152
673,644,393,8685,2158
697,587,394,8696,2163
801,320,395,8707,2168
749,467,397,8726,2179
809,280,398,8738,2184
849,100,399,8749,2187
841,167,400,8759,2194
846,184,401,8769,2200
837,211,402,8780,2204
841,223,403,8790,2210
830,230,404,8801,2215
826,231,405,8810,2220
826,233,406,8824,2225
837,233,407,8834,2230
829,233,408,8842,2236
826,233,410,8868,2246
832,234,411,8879,2253
826,231,412,8886,2258
830,233,413,8896,2264
824,232,414,8907,2267
756,462,415,8919,2273
798,508,416,8929,2279
867,557,417,8941,2284
893,583,418,8953,2289
889,606,419,8963,2296
869,614,420,8974,2301
780,582,421,8988,2306
739,566,422,8999,2312
723,557,423,9010,2315
728,554,424,9019,2320
738,502,425,9030,2328
717,389,426,9039,2334
747,281,427,9052,2340
792,221,428,9063,2344
810,201,429,9072,2351
819,200,430,9084,2356
830,207,431,9094,2361
832,213,432,9103,2367
832,217,433,9114,2372
830,221,434,9123,2377
842,219,435,9134,2381
843,224,436,9147,2386
847,228,437,9158,2392
841,321,438,9170,2398
797,434,439,9180,2404
746,521,440,9189,2409
725,550,441,9202,2415
719,555,442,9213,2420
719,550,443,9222,2426
721,544,444,9233,2432
722,540,445,9243,2436
723,537,446,9253,2442
724,535,447,9263,2446
725,532,448,9272,2451
725,531,449,9286,2456
726,531,450,9293,2460
727,529,451,9303,2467
725,530,452,9317,2471
