Time Stamp (ms),qw,qx,qy,qz
4452,0.878235,-0.0700073,-0.335022,-0.333984
4493,0.872925,-0.0457764,-0.340088,-0.346863
4531,0.885193,-0.0657349,-0.329224,-0.322144
4573,0.869629,-0.126038,-0.355591,-0.318542
4613,0.862366,-0.156494,-0.366089,-0.312744
4656,0.869934,-0.177185,-0.365662,-0.279541
4696,0.873718,-0.218811,-0.357727,-0.24646
4736,0.882507,-0.303833,-0.313232,-0.175354
4777,0.8479,-0.350952,-0.358154,-0.171997
4816,0.830688,-0.33429,-0.38446,-0.224426
4858,0.794922,-0.236633,-0.444031,-0.338989
4898,0.704224,-0.0701294,-0.463135,-0.533569
4939,0.628479,0.0728149,-0.46051,-0.62262
4979,0.5495,0.17218,-0.437256,-0.690796
5019,0.44342,0.272217,-0.37915,-0.765198
5062,0.346863,0.364685,-0.299744,-0.810486
5103,0.317932,0.408875,-0.264648,-0.813477
5143,0.30835,0.377075,-0.248047,-0.837402
5180,0.286743,0.326965,-0.255127,-0.863586
5225,0.266174,0.339844,-0.313293,-0.845886
5264,0.228271,0.354614,-0.32782,-0.845398
5305,0.164856,0.422729,-0.34613,-0.821167
5345,0.0903931,0.489014,-0.38739,-0.776306
5387,0.0258179,0.511475,-0.412231,-0.753479
5426,0.0332642,0.497009,-0.393555,-0.772644
5466,0.019165,0.490723,-0.401428,-0.773071
5506,0.0234375,0.487854,-0.42981,-0.75946
5546,0.0995483,0.461487,-0.45813,-0.753113
5588,0.172729,0.411255,-0.443787,-0.777222
5628,0.180237,0.391418,-0.41864,-0.799377
5668,0.167725,0.378357,-0.399231,-0.818115
5711,0.140747,0.356506,-0.369629,-0.846436
5751,0.0814209,0.354187,-0.344055,-0.865784
5792,0.0224609,0.344116,-0.313843,-0.884644
5831,-0.0493774,0.334961,-0.32312,-0.883728
5873,-0.134033,0.321716,-0.354248,-0.867798
5913,-0.124451,0.314087,-0.391907,-0.855713
5955,-0.0983276,0.330505,-0.413574,-0.842651
5993,-0.0945435,0.267517,-0.380371,-0.880249
6035,-0.133667,0.279663,-0.394958,-0.864807
6074,-0.214966,0.28833,-0.383423,-0.850708
6117,-0.262146,0.271851,-0.36322,-0.851746
6157,-0.20282,0.279907,-0.395813,-0.850769
6198,-0.227905,0.293457,-0.41156,-0.832214
6237,-0.242126,0.354431,-0.504333,-0.749268
6278,-0.178162,0.316895,-0.510986,-0.778931
6318,-0.156555,0.284546,-0.485901,-0.811401
6359,-0.157654,0.257568,-0.473022,-0.827698
6400,-0.175232,0.234741,-0.431702,-0.853149
6442,-0.239075,0.222412,-0.397156,-0.857666
6480,-0.278198,0.212463,-0.424561,-0.835022
6522,-0.236267,0.161072,-0.441589,-0.850403
6562,-0.228333,0.0978394,-0.396606,-0.883728
6604,-0.232483,0.149963,-0.418518,-0.865051
6645,-0.254517,0.126404,-0.383972,-0.87854
6683,-0.276611,0.111084,-0.429382,-0.852539
6727,-0.332458,0.119385,-0.438538,-0.826355
6764,-0.382019,0.151184,-0.446777,-0.794739
6805,-0.361206,0.194824,-0.471252,-0.780701
6846,-0.394775,0.161987,-0.403625,-0.809326
6889,-0.408936,0.185913,-0.432007,-0.782043
6926,-0.406311,0.157227,-0.440063,-0.785156
6967,-0.411255,0.150085,-0.434204,-0.787292
7010,-0.404846,0.193054,-0.473938,-0.757751
7049,-0.403564,0.133911,-0.431213,-0.795776
7091,-0.410583,0.129272,-0.467712,-0.771973
7132,-0.39325,0.122559,-0.474548,-0.777893
7171,-0.39801,0.107361,-0.470459,-0.780212
7211,-0.381042,0.140625,-0.508789,-0.759033
7251,-0.437988,0.133301,-0.458496,-0.761719
7294,-0.41095,0.15863,-0.529724,-0.724792
7332,-0.41394,0.162292,-0.52063,-0.728882
7373,-0.400696,0.149414,-0.522156,-0.737854
7413,-0.42334,0.136169,-0.504089,-0.740356
7456,-0.439392,0.126404,-0.514893,-0.725159
7496,-0.53894,0.0932007,-0.491455,-0.677734
7537,-0.53479,0.02948,-0.520874,-0.664673
7576,-0.549805,-0.00109863,-0.513794,-0.658569
